Valsts nosaukums;Benzīna cena (€/L);Dīzeļdegvielas cena (€/L);Datums
Finland;2.125;2.144;29 Jun 26
France;1.935;1.869;29 Jun 26
Germany;1.9;1.763;29 Jun 26
Greece;1.922;1.608;29 Jun 26
Hungary;1.624;1.642;29 Jun 26
Ireland;1.762;1.759;29 Jun 26
Italy;1.812;1.897;29 Jun 26
Latvia;1.727;1.674;29 Jun 26
Lithuania;1.664;1.739;29 Jun 26
Luxembourg;1.648;1.623;29 Jun 26
Malta;1.34;1.21;29 Jun 26
Netherlands;2.203;2.021;29 Jun 26
Poland;1.39;1.408;29 Jun 26
Portugal;1.876;1.767;29 Jun 26
Romania;1.651;1.75;29 Jun 26
Slovakia;1.665;1.485;29 Jun 26
Slovenia;1.576;1.679;29 Jun 26
Spain;1.438;1.504;29 Jun 26
Sweden;1.542;1.684;29 Jun 26
Austria;1.65;1.724;22 Jun 26
Belgium;1.768;1.86;22 Jun 26
Bulgaria;1.496;1.539;22 Jun 26
Croatia;1.617;1.703;22 Jun 26
Cyprus;1.539;1.688;22 Jun 26
Czechia;1.605;1.473;22 Jun 26
Denmark;2.312;1.98;22 Jun 26
Estonia;1.656;1.596;22 Jun 26
Finland;2.152;2.173;22 Jun 26
France;1.952;1.89;22 Jun 26
Germany;1.87;1.729;22 Jun 26
Greece;1.932;1.641;22 Jun 26
Hungary;1.637;1.68;22 Jun 26
Ireland;1.794;1.807;22 Jun 26
Italy;1.85;1.949;22 Jun 26
Latvia;1.797;1.786;22 Jun 26
Lithuania;1.685;1.765;22 Jun 26
Luxembourg;1.648;1.623;22 Jun 26
Malta;1.34;1.21;22 Jun 26
Netherlands;2.206;2.032;22 Jun 26
Poland;1.381;1.404;22 Jun 26
Portugal;1.882;1.779;22 Jun 26
Romania;1.634;1.729;22 Jun 26
Slovakia;1.653;1.526;22 Jun 26
Slovenia;1.601;1.711;22 Jun 26
Spain;1.46;1.539;22 Jun 26
Sweden;1.535;1.702;22 Jun 26
Austria;1.726;1.82;15 Jun 26
Belgium;1.823;2.022;15 Jun 26
Bulgaria;1.518;1.588;15 Jun 26
Croatia;1.649;1.723;15 Jun 26
Cyprus;1.58;1.728;15 Jun 26
Czechia;1.653;1.566;15 Jun 26
Denmark;2.392;2.101;15 Jun 26
Estonia;1.696;1.705;15 Jun 26
Finland;2.214;2.239;15 Jun 26
France;1.993;1.995;15 Jun 26
Germany;1.907;1.795;15 Jun 26
Greece;1.995;1.739;15 Jun 26
Hungary;1.705;1.773;15 Jun 26
Ireland;1.814;1.844;15 Jun 26
Italy;1.896;2.005;15 Jun 26
Latvia;1.797;1.786;15 Jun 26
Lithuania;1.737;1.801;15 Jun 26
Luxembourg;1.733;1.753;15 Jun 26
Malta;1.34;1.21;15 Jun 26
Netherlands;2.236;2.102;15 Jun 26
Poland;1.408;1.473;15 Jun 26
Portugal;1.919;1.857;15 Jun 26
Romania;1.675;1.738;15 Jun 26
Slovakia;1.696;1.628;15 Jun 26
Slovenia;1.608;1.676;15 Jun 26
Spain;1.5;1.593;15 Jun 26
Sweden;1.62;1.821;15 Jun 26
